"Player","Season","Team","Position","GP","TOI","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAA","GSAx"
"Scott Darling","15-16","CHI","G",29,1560.02,66.2,779.06,1061.92,64.85,91.5,93.77,93.89,-0.13,0.18,-1.35
"Scott Darling","16-17","CHI","G",32,1688.58,66.73,871.55,1136.78,73.88,92.34,94.13,93.5,0.63,8.62,7.15
"Scott Darling","17-18","CAR","G",43,2475.12,129.93,1180.9,1680.56,106.77,89,92.27,93.65,-1.38,-26.35,-23.16
"Scott Darling","18-19","CAR","G",8,485.57,27.45,239.47,344.25,23.66,88.54,92.03,93.13,-1.1,-5.86,-3.79
"Scott Wedgewood","15-16","N.J","G",4,240.75,4.78,113.82,156.42,9.85,95.8,96.94,93.7,3.24,4.92,5.07
"Scott Wedgewood","17-18","ARI","G",20,1096.5,63.35,593.66,886.91,53.41,89.33,92.86,93.98,-1.12,-11.28,-9.94
"Semyon Varlamov","14-15","COL","G",57,3306.83,139.82,1792.93,2532.3,156.14,92.2,94.48,93.83,0.64,13.07,16.32
"Semyon Varlamov","15-16","COL","G",57,3159.28,150.22,1723.05,2407.7,146.15,91.28,93.76,93.93,-0.17,-3.42,-4.07
"Semyon Varlamov","16-17","COL","G",24,1347.78,77.49,769.85,1012.21,60.89,89.93,92.34,93.98,-1.64,-10.93,-16.6
"Semyon Varlamov","17-18","COL","G",51,2860.93,127.15,1586.16,2204.16,132.88,91.98,94.23,93.97,0.26,11.97,5.73
"Semyon Varlamov","18-19","COL","G",49,2839.2,137,1491,2010.5,128.28,90.81,93.19,93.62,-0.43,-2.59,-8.72
"Sergei Bobrovsky","14-15","CBJ","G",51,2994.2,135.04,1641.39,2207.32,128.91,91.77,93.88,94.16,-0.28,4.93,-6.13
"Sergei Bobrovsky","15-16","CBJ","G",37,2116.35,99.16,1054.98,1444.14,90.8,90.6,93.13,93.71,-0.58,-9.27,-8.36
"Sergei Bobrovsky","16-17","CBJ","G",63,3707.07,126.43,1839.27,2536.4,171.53,93.13,95.02,93.24,1.78,32.58,45.1
"Sergei Bobrovsky","17-18","CBJ","G",65,3911.47,157.1,1977.3,2708.7,179.41,92.05,94.2,93.38,0.82,16.33,22.31
"Sergei Bobrovsky","18-19","CBJ","G",62,3556.23,153.86,1733.12,2390.76,151.02,91.12,93.56,93.68,-0.12,2.38,-2.84
"Spencer Martin","16-17","COL","G",3,179.43,13.15,101.44,137.52,8.87,87.04,90.44,93.55,-3.11,-4.38,-4.28
"Steve Mason","14-15","PHI","G",51,2885.38,108.24,1499.14,2038.4,124.73,92.78,94.69,93.88,0.81,19.6,16.49
"Steve Mason","15-16","PHI","G",54,3150.43,131.6,1612.71,2172.06,140.53,91.84,93.94,93.53,0.41,5.8,8.93
"Steve Mason","16-17","PHI","G",58,3224.53,143.28,1554.74,2164.41,140.14,90.78,93.38,93.53,-0.15,-8.86,-3.14
"Steve Mason","17-18","WPG","G",13,684.88,36.52,382.9,522.97,33.7,90.46,93.02,93.56,-0.54,-2.94,-2.82
"Thatcher Demko","18-19","VAN","G",9,534.15,25.13,300.11,407.57,23.81,91.63,93.83,94.16,-0.32,1.92,-1.32
"Thomas Greiss","14-15","PIT","G",20,1159.62,49.06,534.95,714.57,43.24,90.83,93.13,93.95,-0.81,-3.44,-5.82
"Thomas Greiss","15-16","NYI","G",41,2287.32,89.32,1185.58,1613.6,106.83,92.47,94.46,93.38,1.09,11.69,17.51
"Thomas Greiss","16-17","NYI","G",51,2813.28,125.18,1436.57,2062.11,135.04,91.29,93.93,93.45,0.48,-0.99,9.86
"Thomas Greiss","17-18","NYI","G",27,1491.72,94.97,884.05,1198.87,75.54,89.26,92.08,93.7,-1.62,-17.43,-19.43
"Thomas Greiss","18-19","NYI","G",43,2293.65,87.5,1168.37,1598.71,99.17,92.51,94.53,93.8,0.73,17.83,11.67
"Tristan Jarry","17-18","PIT","G",26,1363.93,63.04,677.7,920.6,61.23,90.7,93.15,93.35,-0.2,-3.6,-1.81
"Tristan Jarry","18-19","PIT","G",2,120.05,6.82,61.33,74.11,2.61,88.88,90.8,96.48,-5.68,-1.3,-4.21
"Troy Grosenick","14-15","S.J","G",2,118.37,2.88,55.16,82.48,4.9,94.78,96.51,94.06,2.45,1.83,2.02
"Tuukka Rask","14-15","BOS","G",70,4063.02,154.94,1996.25,2737.7,154.2,92.24,94.34,94.37,-0.03,15.29,-0.74
"Tuukka Rask","15-16","BOS","G",64,3678.05,157.73,1842.53,2624.24,150.97,91.44,93.99,94.25,-0.26,-0.75,-6.76
"Tuukka Rask","16-17","BOS","G",65,3679.58,136.53,1586.78,2258.14,133.1,91.4,93.95,94.11,-0.15,0.65,-3.43
"Tuukka Rask","17-18","BOS","G",54,3173.08,125.25,1518.94,2110.03,126.05,91.75,94.06,94.03,0.04,7.98,0.8
"Tuukka Rask","18-19","BOS","G",46,2635.12,108.71,1230.52,1694.71,103.87,91.17,93.59,93.87,-0.29,2.22,-4.84
"Viktor Fasth","14-15","EDM","G",26,1336.48,75.32,692.37,994.5,64.7,89.12,92.43,93.49,-1.07,-16.27,-10.62
"Zane McIntyre","16-17","BOS","G",8,332.62,21.7,159.4,211.66,14.23,86.39,89.75,93.28,-3.53,-7.92,-7.47
